name,counts,GeneSymbol
NM_001386125.1,114,OBSCN
NM_182914.3,114,SYNE2
NM_031935.3,106,HMCN1
NM_000540.3,105,RYR1
NM_001035.3,104,RYR2
NM_001036.6,103,RYR3
NM_172245.4,100,CSF2RA
NM_002183.4,92,IL3RA
NM_001206927.2,91,DNAH8
NM_032119.4,89,ADGRV1
NM_001080463.2,89,DYNC2H1
NM_002332.3,88,LRP1
NM_001377.3,88,DYNC2H1
NM_001291815.2,87,HMCN2
NM_001384125.1,85,KIAA1109
NM_020877.5,84,DNAH2
NM_001367479.1,84,DNAH14
NM_001277115.2,81,DNAH11
NM_001372106.1,78,DNAH10
NM_177531.6,77,PKHD1L1
NM_001376.5,77,DYNC1H1
NM_002414.5,76,CD99
NM_015512.5,76,DNAH1
NM_001370.2,75,DNAH6
NM_001354587.1,74,ANKRD36
NM_198129.4,74,LAMA3
NM_025074.7,73,FRAS1
NM_033305.3,71,VPS13A
NM_001375524.1,71,TRRAP
NM_001365999.1,71,SZT2
NM_001365693.1,69,MGAM
NM_022124.6,68,CDH23
NM_002186.3,68,IL9R
NM_015136.3,68,STAB1
NM_001372.4,68,DNAH9
NM_001171038.2,68,ASMT
NM_017564.10,68,STAB2
NM_015378.4,68,VPS13D
NM_001306084.2,66,CFAP54
NM_001256071.3,66,RNF213
NM_000093.5,65,COL5A1
NM_016239.4,64,MYO15A
NM_001371986.1,64,UNC80
NM_000426.4,64,LAMA2
NM_001304548.2,63,CFAP47
NM_014708.6,62,KNTC1
NM_014503.3,61,UTP20
NM_152701.5,61,ABCA13
NM_000051.4,61,ATM
NM_005638.6,60,VAMP7
NM_032888.4,60,COL27A1
NM_017890.5,60,VPS13B
NM_023037.3,60,FRY
NM_152564.5,60,VPS13B
NM_001378452.1,59,ITPR1
NM_001385012.1,58,NBEA
NM_001378609.3,57,OTOGL
NM_001042492.3,57,NF1
NM_002224.4,57,ITPR3
NM_153021.5,57,PLB1
NM_007118.4,56,TRIO
NM_001377530.1,55,DMBT1
NM_001130987.2,55,DYSF
NM_001130438.3,55,SPTAN1
NM_001292063.2,55,OTOG
NM_015268.4,54,DNAJC13
NM_003494.4,54,DYSF
