name,counts,GeneSymbol
NM_001267550.2,361,TTN
NM_001164508.2,179,NEB
NM_182961.4,143,SYNE1
NM_000094.4,117,COL7A1
NM_020765.3,105,UBR4
NM_001374736.1,103,DST
NM_014611.3,101,MDN1
NM_013239.5,100,PPP2R3B
NM_004192.4,100,ASMTL
NM_005529.7,96,HSPG2
NM_004667.6,91,HERC2
NM_018557.3,90,LRP1B
NM_006904.7,86,PRKDC
NM_001270974.2,84,HYDIN
NM_020821.3,84,VPS13C
NM_015057.5,82,MYCBP2
NM_031407.7,80,HUWE1
NM_005560.6,79,LAMA5
NM_173628.4,79,DNAH17
NM_014709.4,79,USP34
NM_004006.3,78,DMD
NM_001369.3,78,DNAH5
NM_004525.3,78,LRP2
NM_003922.4,76,HERC1
NM_001388303.1,75,HECTD4
NM_198123.2,70,CSMD3
NM_206933.4,70,USH2A
NM_033225.6,69,CSMD1
NM_001856.4,69,COL16A1
NM_001281956.2,69,CSMD2
NM_015306.3,67,USP24
NM_001375547.2,67,ABI3BP
NM_001081.4,66,CUBN
NM_001854.4,66,COL11A1
NM_016642.4,66,SPTBN5
NM_015719.4,66,COL5A3
NM_080680.3,65,COL11A2
NM_138694.4,65,PKHD1
NM_005045.4,64,RELN
NM_014991.6,64,WDFY3
NM_018897.3,64,DNAH7
NM_004370.6,64,COL12A1
NM_000138.5,64,FBN1
NM_001999.4,64,FBN2
NM_152888.3,63,COL22A1
NM_015092.5,62,SMG1
NM_005559.4,62,LAMA1
NM_032447.5,62,FBN3
NM_015030.2,60,FRYL
NM_022148.4,60,CRLF2
NM_152890.7,59,COL24A1
NM_170606.3,58,KMT2C
NM_015902.6,58,UBR5
NM_001366028.2,57,DNAH12
NM_006836.2,57,GCN1
NM_001200049.3,57,CFAP46
NM_138295.5,56,PKD1L1
NM_004958.4,56,MTOR
NM_002223.4,56,ITPR2
NM_006289.4,55,TLN1
NM_001378183.1,55,PIEZO2
NM_198834.3,55,ACACA
NM_001364905.1,55,LRBA
NM_014689.3,55,DOCK10
NM_015113.4,54,ZZEF1
NM_000494.4,54,COL17A1
NM_058004.4,54,PI4KA
NM_000393.5,53,COL5A2
NM_007110.5,53,TEP1
NM_013451.4,53,MYOF
NM_001844.5,53,COL2A1
NM_003482.4,53,KMT2D
NM_025114.4,52,CEP290
NM_173076.3,52,ABCA12
NM_145177.3,52,DHRSX
NM_001366683.2,52,DOCK9
NM_001363540.2,52,DOCK4
NM_015909.4,51,NBAS
NM_001845.6,51,COL4A1
NM_003126.4,51,SPTA1
NM_001384732.1,51,CPLANE1
NM_003292.3,50,TPR
NM_000081.4,50,LYST
NM_000552.5,50,VWF
NM_001142864.4,50,PIEZO1
NM_000088.4,50,COL1A1
NM_000350.3,49,ABCA4
NM_001367561.1,49,DOCK7
NM_173630.4,48,RTTN
NM_001364929.1,48,ECPAS
NM_001813.3,48,CENPE
NM_001606.5,48,ABCA2
NM_005502.4,48,ABCA1
NM_006231.4,48,POLE
NM_020812.4,47,DOCK6
NM_016284.5,47,CNOT1
NM_001256789.3,47,CACNA1F
NM_206996.4,47,SPAG17
NM_153366.4,47,SVEP1
NM_015662.3,47,IFT172
NM_001244008.2,47,KIF1A
NM_000092.5,46,COL4A4
NM_022662.4,46,ANAPC1
NM_001127222.2,46,CACNA1A
NM_174916.3,46,UBR1
NM_001206999.2,46,CIT
NM_001041.4,46,SI
NM_001080453.3,46,INTS1
NM_001110556.2,46,FLNA
NM_001184.4,46,ATR
NM_194248.3,45,OTOF
NM_001378778.1,45,MPDZ
NM_001009944.3,45,PKD1
NM_212482.4,45,FN1
NM_014614.3,45,PSME4
NM_006311.4,44,NCOR1
NM_001144952.2,44,SDK2
NM_033641.4,44,COL4A6
NM_015058.2,44,VWA8
NM_133379.5,44,TTN
NM_014014.5,44,SNRNP200
NM_018072.6,43,HEATR1
NM_001080421.3,43,UNC13A
NM_001378457.1,43,DMXL2
NM_020964.3,43,EPG5
NM_183387.3,43,EML5
NM_001378902.1,43,ROS1
NM_000069.3,43,CACNA1S
NM_052867.4,42,NALCN
NM_004369.4,42,COL6A3
NM_001008938.4,42,CKAP5
NM_000135.4,42,FANCA
NM_001365276.2,42,TNXB
NM_020987.5,42,ANK3
NM_014258.4,42,SYCP2
NM_198060.4,41,NRAP
NM_018036.7,41,ATG2B
NM_001382347.1,41,MYO5A
NM_004104.5,41,FASN
NM_173489.5,41,MROH2B
NM_015692.5,41,CPAMD8
NM_015382.4,41,HECTD1
NM_006445.4,41,PRPF8
NM_001256012.3,41,MYH10
NM_001366122.1,41,KCP
NM_000037.4,41,ANK1
NM_006073.4,40,TRDN
NM_153252.5,40,BRWD3
NM_033656.4,40,BRWD1
NM_015348.2,40,TMEM131
NM_006828.4,40,ASCC3
NM_198236.3,40,ARHGEF11
NM_006901.4,40,MYO9A
NM_001384474.1,40,LOXHD1
NM_002972.4,40,SBF1
NM_001130823.3,40,DNMT1
NM_001348323.3,40,TRIP12
NM_015346.4,40,ZFYVE26
NM_001735.3,40,C5
NM_001346249.2,40,RALGAPA1
NM_000064.4,40,C3
NM_001282857.2,40,XRN1
NM_001040113.2,40,MYH11
NM_015104.3,40,ATG2A
NM_078471.4,40,MYO18A
NM_015557.3,40,CHD5
NM_012334.3,40,MYO10
NM_018728.4,40,MYO5C
NM_017934.7,39,PHIP
NM_001145128.3,39,AK9
NM_001080467.3,39,MYO5B
NM_025137.4,39,SPG11
NM_014639.4,39,TTC37
NM_020820.4,39,PREX1
NM_002474.3,39,MYH11
NM_030962.4,39,SBF2
NM_024923.4,39,NUP210
NM_015254.4,39,KIF13B
NM_002473.6,39,MYH9
NM_001142800.2,39,EYS
NM_017672.6,38,TRPM7
NM_014825.3,38,URB1
NM_020343.4,38,RALGAPA2
NM_025003.5,38,ADAMTS20
NM_006421.5,38,ARFGEF1
NM_000722.4,38,CACNA2D1
NM_001273.5,38,CHD4
NM_002470.4,38,MYH3
NM_003802.3,38,MYH13
NM_182920.2,38,ADAMTS9
NM_006277.3,38,ITSN2
NM_000352.6,38,ABCC8
NM_005577.4,38,LPA
NM_020121.4,38,UGGT2
NM_001365631.1,38,CLASP2
NM_017662.5,38,TRPM6
NM_022113.6,38,KIF13A
NM_014680.5,38,KIAA0100
NM_001851.6,37,COL9A1
NM_000257.4,37,MYH7
NM_001173464.2,37,KIF21A
NM_001017975.6,37,HFM1
NM_025145.7,37,CFAP43
NM_006030.4,37,CACNA2D2
NM_017534.6,37,MYH2
NM_178229.5,37,IQGAP3
NM_018249.6,37,CDK5RAP2
NM_133259.4,37,LRPPRC
NM_172232.4,37,ABCA5
NM_020297.4,37,ABCC9
NM_152756.5,37,RICTOR
NM_001288985.2,37,ABCA8
NM_002334.4,37,LRP4
NM_005963.4,37,MYH1
NM_172364.5,37,CACNA2D4
NM_017533.2,37,MYH4
NM_001304360.2,37,CFAP74
NM_080284.3,37,ABCA6
NM_002472.3,37,MYH8
NM_001105206.3,37,LAMA4
NM_001081550.2,37,THOC2
NM_080283.4,37,ABCA9
NM_022065.5,36,THADA
NM_001520.4,36,GTF3C1
NM_006035.4,36,CDC42BPB
NM_006095.2,36,ATP8A1
NM_001409.4,36,MEGF6
NM_017631.6,36,DDX60
NM_001377321.1,36,ABCA10
NM_002850.4,36,PTPRS
NM_002471.4,36,MYH6
NM_003061.3,36,SLIT1
NM_001170629.2,36,CHD8
NM_013291.3,36,CPSF1
NM_001384140.1,36,PCDH15
NM_001012967.3,36,DDX60L
NM_198721.4,36,COL25A1
NM_017525.3,36,CDC42BPG
NM_003803.4,36,MYOM1
NM_014974.3,36,DIP2C
NM_001009984.3,36,DNAAF9
NM_182706.5,36,SCRIB
NM_002864.3,35,PZP
NM_006946.4,35,SPTBN2
NM_000428.3,35,LTBP2
NM_001330700.2,35,TOP2B
NM_000014.6,35,A2M
NM_003640.5,35,ELP1
NM_000379.4,35,XDH
NM_017886.4,35,ULK4
NM_001130082.3,35,PLXNB1
NM_001387274.1,35,DCDC1
NM_003062.4,35,SLIT3
NM_032221.5,35,CHD6
NM_152372.4,35,MYOM3
NM_001379081.2,35,FREM1
NM_015103.3,35,PLXND1
NM_017553.3,34,INO80
NM_153485.3,34,NUP155
NM_014691.3,34,AQR
NM_001355436.2,34,SPTB
NM_012414.4,34,RAB3GAP2
NM_001252102.2,34,KIF21B
NM_015473.4,34,HEATR5A
NM_012401.4,34,PLXNB2
NM_000489.6,34,ATRX
NM_021738.3,34,SVIL
NM_002349.4,34,LY75
NM_001378328.1,34,CELSR1
NM_013450.4,34,BAZ2B
NM_019024.3,34,HEATR5B
NM_015261.3,34,NCAPD3
NM_001323342.2,34,AHCTF1
NM_001407.3,34,CELSR3
NM_002839.4,34,PTPRD
NM_001098537.3,34,PNPLA7
NM_144982.5,34,ZFC3H1
NM_001067.4,34,TOP2A
NM_001270.4,34,CHD1
NM_001199397.3,33,NEK1
NM_024408.4,33,NOTCH2
NM_001037763.3,33,COL28A1
NM_000256.3,33,MYBPC3
NM_015179.4,33,RRP12
NM_032582.4,33,USP32
NM_017617.5,33,NOTCH1
NM_032217.5,33,ANKRD17
NM_014801.4,33,PCNX2
NM_015425.6,33,POLR1A
NM_001109754.4,33,PTPRB
NM_003618.4,33,MAP4K3
NM_014915.3,33,ANKRD26
NM_001164496.2,33,CFAP44
NM_001382508.1,32,DROSHA
NM_018227.6,32,UBA6
NM_005406.3,32,ROCK1
NM_001286577.2,32,C2CD3
NM_001363711.2,32,DUOX2
NM_007356.3,32,LAMB4
NM_004713.6,32,NEMF
NM_005862.3,32,STAG1
NM_194302.4,32,CFAP65
NM_001321708.2,32,DGKI
NM_002291.3,32,LAMB1
NM_002161.6,32,IARS1
NM_006437.4,32,PARP4
NM_005961.3,32,MUC6
NM_004850.5,32,ROCK2
NM_001040118.3,32,ARAP1
NM_001389.5,32,DSCAM
NM_000435.3,32,NOTCH3
NM_001387777.1,32,TNS1
NM_020693.4,32,DSCAML1
NM_020919.4,32,ALS2
NM_015028.4,32,TNIK
NM_000292.3,32,PHKA2
NM_004371.4,32,COPA
NM_016320.5,31,NUP98
NM_020750.3,31,XPO5
NM_020117.11,31,LARS1
NM_033056.4,31,PCDH15
NM_004082.5,31,DCTN1
NM_001372078.1,31,REV3L
NM_001080779.2,31,MYO1C
NM_001852.4,31,COL9A2
NM_001365480.1,31,CCDC88A
NM_002645.4,31,PIK3C2A
NM_004573.3,31,PLCB2
NM_152730.6,31,TBC1D32
NM_002637.4,31,PHKA1
NM_018417.6,31,ADCY10
NM_199242.3,31,UNC13D
NM_004579.5,31,MAP4K2
NM_001261826.3,31,AP3D1
NM_001377334.1,31,PIK3C2B
NM_201384.3,31,PLEC
NM_007098.4,31,CLTCL1
NM_001297.5,31,CNGB1
NM_022481.6,31,ARAP3
NM_001367549.1,31,ATP13A3
NM_002292.4,31,LAMB2
NM_015230.4,31,ARAP2
NM_006575.6,31,MAP4K5
NM_001100399.2,31,PDS5A
NM_201378.4,31,PLEC
NM_004446.3,31,EPRS1
NM_004747.4,31,DLG5
NM_013436.5,30,NCKAP1
NM_025179.4,30,PLXNA2
NM_004229.4,30,MED14
NM_007050.6,30,PTPRT
NM_003580.4,30,NSMAF
NM_181536.2,30,PKD1L3
NM_003470.3,30,USP7
NM_007055.4,30,POLR3A
NM_005845.5,30,ABCC4
NM_001101662.2,30,NRDC
NM_002208.5,30,ITGAE
NM_001042600.3,30,MAP4K1
NM_020843.4,30,SCAPER
NM_022362.5,30,MMS19
NM_017439.4,30,GSAP
NM_001282860.2,30,GON4L
NM_015335.5,30,MED13L
NM_004758.4,30,TSPOAP1
NM_203446.3,30,SYNJ1
NM_001171.6,30,ABCC6
NM_015241.3,30,MICAL3
NM_001320835.1,30,DENND4A
NM_004380.3,30,CREBBP
NM_001034954.3,30,SORBS1
NM_002599.5,30,PDE2A
NM_001364857.2,30,ADGRB2
NM_001167856.3,30,SBNO1
NM_020911.2,30,PLXNA4
NM_053025.4,30,MYLK
NM_031272.5,30,TEX14
NM_001365479.2,30,USP40
NM_014963.3,30,SBNO2
NM_005338.7,30,HIP1
NM_005923.4,29,MAP3K5
NM_001080414.4,29,CCDC88C
NM_001004439.2,29,ITGA11
NM_182925.5,29,FLT4
NM_001134398.2,29,VAV2
NM_199420.4,29,POLQ
NM_198505.4,29,ATP13A5
NM_002205.5,29,ITGA5
NM_005646.4,29,TARBP1
NM_001098816.3,29,TENM4
NM_022785.4,29,EFCAB6
NM_002018.4,29,FLII
NM_032279.4,29,ATP13A4
NM_001130528.3,29,SPAG9
NM_015565.3,29,LTN1
NM_005121.3,29,MED13
NM_014866.2,29,SEC16A
NM_002941.4,29,ROBO1
NM_007366.5,29,PLA2R1
NM_001089.3,29,ABCA3
NM_014877.4,29,HELZ
NM_000419.5,29,ITGA2B
NM_002019.4,29,FLT1
NM_003638.3,29,ITGA8
NM_003625.5,29,PPFIA2
NM_017954.11,29,CADPS2
NM_024658.4,29,IPO4
NM_015078.4,29,MCF2L2
NM_004557.4,29,NOTCH4
NM_003716.4,29,CADPS
NM_002844.4,29,PTPRK
NM_001258249.2,29,UTY
NM_001037132.4,29,NRCAM
NM_006154.4,28,NEDD4
NM_001135924.3,28,VWDE
NM_000384.3,28,APOB
NM_031276.3,28,TEX11
NM_006295.3,28,VARS1
NM_153700.2,28,STRC
NM_001370497.1,28,ABCC11
NM_015102.5,28,NPHP4
NM_032442.3,28,NEURL4
NM_030820.4,28,COL21A1
NM_001018071.4,28,FRMPD2
NM_001636.4,28,SLC25A6
NM_153816.6,28,SNX14
NM_004646.4,28,NPHS1
NM_018482.4,28,ASAP1
NM_001001671.4,28,MAP3K15
NM_005688.4,28,ABCC5
NM_001013742.4,28,DGKK
NM_020921.4,28,NIN
NM_022089.4,28,ATP13A2
NM_001330288.2,28,SMARCC2
NM_001080495.3,28,TNRC18
NM_024753.5,28,TTC21B
NM_020738.4,28,KIDINS220
NM_003566.4,28,EEA1
NM_004304.5,28,ALK
NM_173465.4,28,COL23A1
NM_014714.4,28,IFT140
NM_014939.5,28,TRAPPC8
NM_014396.4,28,VPS41
NM_004830.4,28,MED23
NM_014875.3,28,KIF14
NM_001353812.2,28,ATP11C
NM_001042683.3,28,SHPRH
NM_004672.5,28,MAP3K6
NM_001009881.3,28,TUT4
NM_001242792.2,27,SNAP91
NM_024535.5,27,CORO7
NM_001300905.2,27,BAZ2A
NM_001349278.2,27,ANKRD28
NM_003906.5,27,MCM3AP
NM_001042603.3,27,KDM5A
NM_001161352.2,27,KCNMA1
NM_003920.5,27,TIMELESS
NM_004998.4,27,MYO1E
NM_015465.5,27,GEMIN5
NM_001130144.3,27,LTBP3
NM_194323.3,27,OTOF
NM_017552.4,27,ATAD2B
NM_018136.5,27,ASPM
NM_001348768.2,27,HECW2
NM_183061.3,27,SLC9C1
NM_016340.6,27,RAPGEF6
NM_015525.4,27,IBTK
NM_032139.3,27,ANKRD27
NM_005235.3,27,ERBB4
NM_001278116.2,27,L1CAM
NM_001006657.2,27,WDR35
NM_001195144.2,27,ANKRD44
NM_173595.4,27,ANKRD52
NM_001042517.2,27,DIAPH3
NM_198503.5,27,KCNT2
NM_003074.4,27,SMARCC1
NM_014846.4,27,WASHC5
NM_006393.3,27,NEBL
NM_006045.3,27,ATP9A
NM_001141980.3,27,TP53BP1
NM_033109.5,27,PNPT1
NM_014429.4,27,MORC1
NM_138813.4,27,ATP8B3
NM_014109.4,27,ATAD2
NM_138477.4,27,CDAN1
NM_015204.3,27,THSD7A
NM_001370062.2,27,UBAP2
NM_000620.5,27,NOS1
